,product_name,main_category,Category Style,categorize_outfit,occasion,season,Gender,fit_type,fabric,work_details,color_category,shoe_color,shoe_style,price_pkr,discount,Image URL-src,Products-href,web-scraper-start-url
4775,Bubble Gum Pink Net Embroidered Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Net,Embroidered Work,Pinks,Matching color,Heels or sandals,67800,10.0,https://assets2.andaazfashion.com/media/catalog/product/b/u/bubble-gum-pink-net-embroidered-anarkali-suit-lstv110079-1.jpg,https://www.andaazfashion.com/bubble-gum-pink-net-embroidered-anarkali-suit-lstv110079.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 20
4776,Black Eid Special Georgette Anarkali Suit for Eid,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Georgette,Plain / Others,Black & Greys,Black,Heels,60000,19.0,https://assets2.andaazfashion.com/media/catalog/product/b/l/black-eid-special-georgette-anarkali-suit-lstv09914-1_1.jpg,https://www.andaazfashion.com/black-eid-special-georgette-anarkali-suit-lstv09914.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 20
4777,White Georgette Anarkali Suit With Churidar for Eid,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Mixed Range,Georgette,Plain / Others,White & Off‑Whites,Not specified,Not specified,45900,43.0,https://assets2.andaazfashion.com/media/catalog/product/w/h/white-georgette-anarkali-suit-with-multi-color-straight-pant-lstv09917-1_1.jpg,https://www.andaazfashion.com/white-georgette-anarkali-suit-with-multi-color-straight-pant-lstv09917.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 20
4778,Zari Embroidered Net Bluish Grey Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Net,Embroidered Work,Black & Greys,Silver,Heels,100200,35.0,https://assets2.andaazfashion.com/media/catalog/product/g/o/gota-patti-embroidered-net-bluish-grey-anarkali-suit-lstv08557-1.jpg,https://www.andaazfashion.com/gota-patti-embroidered-net-bluish-grey-anarkali-suit-lstv08557.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 20
4779,Floor Length Anarkali Suit in Georgette Dark Maroon for Wedding,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Georgette,Embroidered Work,Reds,Gold,Heels,66000,30.0,https://assets2.andaazfashion.com/media/catalog/product/d/a/dark-maroon-georgette-embroidered-anarkali-suit-lstv08392-1.jpg,https://www.andaazfashion.com/catalog/product/view/id/77799/s/dark-maroon-georgette-embroidered-anarkali-suit-lstv08392/category/65/,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 20
4780,Stone Work Embroidered Net Mint Green Eid Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Net,Embroidered Work,Greens,Gold,Heels,81900,29.0,https://assets2.andaazfashion.com/media/catalog/product/s/t/stone-work-embroidered-net-mint-green-anarkali-suit-lstv08426-1.jpg,https://www.andaazfashion.com/stone-work-embroidered-net-mint-green-anarkali-suit-lstv08426.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 20
4781,Dark Blue Banglori Silk Wedding Anarkali Suit With Zari Work,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Free Size,Silk,Embroidered Work,Multi / Mixed & Others,Matching color,Heels or sandals,47700,27.0,https://assets2.andaazfashion.com/media/catalog/product/d/a/dark-blue-banglori-silk-wedding-anarkali-suit-with-zari-work-1-lsta00010.jpg,https://www.andaazfashion.com/dark-blue-banglori-silk-wedding-anarkali-suit-with-zari-work-lsta00010.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 20
4782,Maroon Color Georgette Anarkali With Straight Pant Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Party/Festive,All-season,Female,Multi Size,Georgette,Embroidered Work,Reds,"Gold, Silver","Heels, Sandals",45900,27.0,https://assets2.andaazfashion.com/media/catalog/product/m/a/maroon-color-georgette-anarkali-with-straight-pant-suit-1-lstv04549.jpg,https://www.andaazfashion.com/maroon-color-georgette-anarkali-with-straight-pant-suit-lstv04549.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4783,Georgette Green Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Georgette,Embroidered Work,Greens,Gold,Heels,47700,27.0,https://assets2.andaazfashion.com/media/catalog/product/g/r/green-anarkali-suit-1-lstv01796.jpg,https://www.andaazfashion.com/georgette-green-anarkali-suit-lstv01796.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4784,Bluish Grey Georgette Embroidered Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Free Size,Georgette,Embroidered Work,Black & Greys,Matching Grey or Silver,"Heels, Sandals",47700,24.0,https://assets2.andaazfashion.com/media/catalog/product/g/r/green-anarkali-suit-1-lstv01788.jpg,https://www.andaazfashion.com/hooker-s-green-georgette-embroidered-anarkali-suit-lstv01788.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4785,Two Tone Taffeta Silk Eid Anarkali Suit In Mustard Color,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Silk,Embroidered Work,Yellows,Gold,Heels,54000,20.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/y/e/yellow-anarkali-suit-1-lstv01519b.jpg,https://www.andaazfashion.com/dazzling-yellow-silk-anarkali-suit-with-stone-work-lstv01519b.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4786,Sage Green Crepe Straight Suit With Trouser for Eid,Pakistani Cloth,Traditional,General Suit,Wedding/Formal,All-season,Female,Mixed Range,Crepe,Embroidered Work,Greens,"Green, Gold","Heels, Sandals",39900,41.0,https://assets2.andaazfashion.com/media/catalog/product/g/r/green-straight-pant-1-lstv01035_1_1.jpg,https://www.andaazfashion.com/georgette-russian-green-straight-pant-suit-lstv01035.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4787,Mauve Taupe Georgette Embroidered Front Slit Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Party/Festive,All-season,Female,Multi Size,Georgette,Embroidered Work,Purples & Mauves,"Gold, Silver","Heels, Sandals",47700,17.0,https://assets2.andaazfashion.com/media/catalog/product/m/a/mauve-taupe-georgette-embroidered-front-slit-anarkali-suit-lstv135198-1.jpg,https://www.andaazfashion.com/mauve-taupe-georgette-embroidered-front-slit-anarkali-suit-lstv135198.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4788,Plum Purple Georgette Embroidered Anarkali Suit for Special Occasions,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Multi Size,Georgette,Embroidered Work,Purples & Mauves,"Gold, Silver","Heels, Sandals",72000,17.0,https://assets2.andaazfashion.com/media/catalog/product/p/l/plum-purple-georgette-embroidered-anarkali-suit-lstv134809-1.jpg,https://www.andaazfashion.com/plum-purple-georgette-embroidered-anarkali-suit-lstv134809.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4789,Dark Pink Georgette Embroidered Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Georgette,Embroidered Work,Pinks,Matching Dark Pink or Gold,Heels or Sandals,72000,22.0,https://assets2.andaazfashion.com/media/catalog/product/d/a/dark-pink-georgette-embroidered-anarkali-suit-lstv134811-1.jpg,https://www.andaazfashion.com/dark-pink-georgette-embroidered-anarkali-suit-lstv134811.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4790,Dark Green Color Anarkali Churidar Suit with Zari Embroidery,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Free Size,Georgette,Embroidered Work,Greens,"Gold, Silver","Heels, Sandals",72000,28.0,https://assets2.andaazfashion.com/media/catalog/product/d/a/dark-green-georgette-embroidered-anarkali-suit-lstv134808-1.jpg,https://www.andaazfashion.com/dark-green-georgette-embroidered-anarkali-suit-lstv134808.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4791,Prussian Blue Georgette Embroidered Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Multi Size,Georgette,Embroidered Work,Blues,"Silver, Gold","Heels, Sandals",72000,43.0,https://assets2.andaazfashion.com/media/catalog/product/p/r/prussian-blue-georgette-embroidered-anarkali-suit-lstv134810-1.jpg,https://www.andaazfashion.com/prussian-blue-georgette-embroidered-anarkali-suit-lstv134810.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4792,Satin Silk Anarkali Gown In Orange Color,Women's Ethnic Wear,Traditional,Gown,Party/Festive,All-season,Female,Range,Silk Blend,Embroidered Work,Oranges,"Gold, Orange, Beige","Heels, Sandals",39900,72.0,https://assets2.andaazfashion.com/media/catalog/product/m/y/myravol428012kk.jpg,https://www.andaazfashion.com/elegant-satin-and-silk-anarkali-gown-in-hony-orange-color-with-resham-embroidered-dmv12669.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4794,Silk Wedding Anarkali Suit In Plum Purple Color,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Silk,Embroidered Work,Purples & Mauves,Gold,Heels,51900,27.0,https://assets2.andaazfashion.com/media/catalog/product/s/i/silk-anarkali-suit-in-plum-purple-color-1-lstv04158_1.jpg,https://www.andaazfashion.com/silk-anarkali-suit-in-plum-purple-color-lstv04158.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4795,Dark Blue Silk Anarkali Gown With Resham Work,Women's Ethnic Wear,Traditional,Gown,Wedding/Formal,All-season,Female,Free Size,Silk,Embroidered Work,Multi / Mixed & Others,Matching color,Heels or sandals,54000,72.0,https://assets2.andaazfashion.com/media/catalog/product/d/a/dark-blue-silk-anarkali-gown-with-resham-work-lstv04068-1_1.jpg,https://www.andaazfashion.com/dark-blue-silk-anarkali-gown-with-resham-work-lstv04068.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4796,Carrot Pink Resham Faux Georgette Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Party/Festive,All-season,Female,Mixed Range,Georgette,Embroidered Work,Pinks,Matching,Heels,51600,43.0,https://assets2.andaazfashion.com/media/catalog/product/r/e/red-resham-faux-georgette-anarkali-suit-1-lstv01960.jpg,https://www.andaazfashion.com/red-resham-faux-georgette-anarkali-suit-lstv01960.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4798,Blue Silk Embroidered Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Silk,Embroidered Work,Multi / Mixed & Others,Silver,Heels,80100,21.0,https://assets2.andaazfashion.com/media/catalog/product/b/l/blue-anarkali-suit-1-lstv01584.jpg,https://www.andaazfashion.com/blue-silk-embroidered-anarkali-suit-lstv01584.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4799,Purple Chanderi Digital Print Party Wear Anarkali Suit,Women's Ethnic Wear,Contemporary,Anarkali Suit,Party/Festive,All-season,Female,Free Size,Traditional Weave,Printed,Purples & Mauves,Matching,Heels,43800,43.0,https://assets2.andaazfashion.com/media/catalog/product/p/u/purple-chanderi-digital-print-party-wear-anarkali-suit-lstv112179-1.jpg,https://www.andaazfashion.com/purple-chanderi-digital-print-party-wear-anarkali-suit-lstv112179.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4800,Dori Work Embroidered Net Anarkali Suit In Mauve Colour,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Net,Embroidered Work,Purples & Mauves,Gold,Heels,39900,26.0,https://assets2.andaazfashion.com/media/catalog/product/d/o/dori-embroidered-net-anarkali-suit-in-mauve-colour-lstv03738-1.jpg,https://www.andaazfashion.com/dori-embroidered-net-anarkali-suit-in-mauve-colour-lstv03738.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4801,Mauve Pink Chanderi Party Wear Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Party/Festive,All-season,Female,Free Size,Traditional Weave,Printed,Purples & Mauves,Gold,"Heels, Sandals",43800,17.0,https://assets2.andaazfashion.com/media/catalog/product/m/a/mauve-pink-chanderi-party-wear-anarkali-suit-lstv112180-1.jpg,https://www.andaazfashion.com/mauve-pink-chanderi-party-wear-anarkali-suit-lstv112180.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4802,Cherry Red Resham Embroidered Net Long Choli Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Net,Embroidered Work,Reds,Gold,Heels,66000,23.0,https://assets2.andaazfashion.com/media/catalog/product/c/h/cherry-red-net-anarkali-suit-with-resham-work-1-lstv04539_1.jpg,https://www.andaazfashion.com/cherry-red-net-anarkali-suit-with-resham-work-lstv04539.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4803,Grey Georgette Anarkali Suit with Blue Net Dupatta,Pakistani Cloth,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Georgette,Embroidered Work,Black & Greys,Blue,Heels,63900,43.0,https://assets2.andaazfashion.com/media/catalog/product/g/r/grey-anarkali-suit-1-lstv01800_1.jpg,https://www.andaazfashion.com/grey-georgette-anarkali-suit-lstv01800.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4804,Pastel Pink Chanderi Printed Party Wear Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Party/Festive,All-season,Female,Free Size,Traditional Weave,Printed,Pinks,Gold,Heels,39900,21.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/a/pastel-pink-chanderi-printed-party-wear-anarkali-suit-lstv112176-1.jpg,https://www.andaazfashion.com/pastel-pink-chanderi-printed-party-wear-anarkali-suit-lstv112176.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4805,Plum Purple Net Wedding Anarkali Suit With Zari Work,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Mixed Range,Net,Embroidered Work,Purples & Mauves,Silver,Heels,120300,43.0,https://assets2.andaazfashion.com/media/catalog/product/p/l/plum-purple-net-anarkali-suit-with-zari-work-1-lstv03305.jpg,https://www.andaazfashion.com/plum-purple-net-anarkali-suit-with-zari-work-lstv03305.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4806,Georgette Desertsand Beige Color Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Georgette,Embroidered Work,White & Off‑Whites,Gold,Heels,54000,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/e/beige-anarkali-suit-1-lstv01804.jpg,https://www.andaazfashion.com/georgette-desertsand-brown-anarkali-suit-lstv01804.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4807,Teal Blue Silk Anarkali Suit with Zari Work,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Silk,Embroidered Work,Blues,Gold,Heels,60600,72.0,https://assets2.andaazfashion.com/media/catalog/product/t/e/teal-blue-silk-anarkali-suit-with-zari-work-1-lstv04159.jpg,https://www.andaazfashion.com/teal-blue-silk-anarkali-suit-with-zari-work-lstv04159.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4808,Beige Embroidered Anarkali Gown with Maroon Net Dupatta,Pakistani Cloth,Traditional,Gown,Wedding/Formal,All-season,Female,Range,Georgette,Embroidered Work,White & Off‑Whites,Gold,Heels,67800,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/e/beige-anarkali-suit-1-lstv01799.jpg,https://www.andaazfashion.com/anarkali-suit-in-beige-color-lstv01799.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4809,Anarkali Suit In Green Color With Zari Embroidered,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Free Size,Georgette,Embroidered Work,Greens,"Green, Gold","Heels, Sandals",77400,23.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/g/r/green-anarkali-suit-1-lstv01785.jpg,https://www.andaazfashion.com/anarkali-suit-in-green-color-with-crystal-embroidered-lstv01785.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4810,Beige Art Silk Floor Length Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Multi Size,Silk,Embroidered Work,White & Off‑Whites,"Gold, Beige","Heels, Sandals",39900,28.0,https://assets2.andaazfashion.com/media/catalog/product/b/e/beige-art-silk-floor-length-anarkali-suit-lstv110814-1.jpg,https://www.andaazfashion.com/beige-art-silk-floor-length-anarkali-suit-lstv110814.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4812,Peach Georgette Anarkali Suit With Zircon Work,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Georgette,Embroidered Work,Multi / Mixed & Others,Gold,Heels,55800,21.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/e/peach-anarkali-suit-1-lstv01794.jpg,https://www.andaazfashion.com/peach-georgette-anarkali-suit-with-zircon-work-lstv01794.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4813,Certain Peach Georgette Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Georgette,Embroidered Work,Multi / Mixed & Others,Gold,Heels,54000,43.0,https://assets2.andaazfashion.com/media/catalog/product/c/e/certain-peach-georgette-anarkali-suit-lstv01802_1_.jpg,https://www.andaazfashion.com/certain-peach-georgette-anarkali-suit-lstv01802.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4814,Bluish Grey Chanderi Party Wear Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Party/Festive,All-season,Female,Free Size,Traditional Weave,Printed,Black & Greys,Matching,Heels,51000,24.0,https://assets2.andaazfashion.com/media/catalog/product/b/l/bluish-grey-chanderi-party-wear-anarkali-suit-lstv112178-1.jpg,https://www.andaazfashion.com/bluish-grey-chanderi-party-wear-anarkali-suit-lstv112178.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4815,Crystal Embroidered Georgette Beige Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Georgette,Embroidered Work,White & Off‑Whites,Gold,Heels,60000,27.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/e/beige-anarkali-suit-1-lstv01789.jpg,https://www.andaazfashion.com/crystal-embroidered-georgette-beige-anarkali-suit-lstv01789.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4816,Green Color Silk Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Party/Festive,All-season,Female,Range,Silk,Embellished Work,Greens,Gold,Heels,63900,18.0,https://assets2.andaazfashion.com/media/catalog/product/g/r/green-anarkali-suit-1-lstv01793.jpg,https://www.andaazfashion.com/hooker-s-green-silk-anarkali-suit-lstv01793.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4817,Silk Anarkali Suit In Carrot Pink Color,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Silk,Embroidered Work,Pinks,Gold,Heels or Sandals,39900,72.0,https://assets2.andaazfashion.com/media/catalog/product/b/a/banglori-silk-anarkali-suit-in-carrot-pink-color-lstv05606.jpg,https://www.andaazfashion.com/banglori-silk-anarkali-suit-in-carrot-pink-color-lstv05606.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4818,Luxurious Georgette Anarkali Suit In Black Color,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Mixed Range,Georgette,Embroidered Work,Black & Greys,Black,Heels,39900,43.0,https://assets2.andaazfashion.com/media/catalog/product/b/l/black-anarkali-suit-1-lstv01790.jpg,https://www.andaazfashion.com/luxurious-georgette-anarkali-suit-in-black-color-lstv01790.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4819,Georgette Charm Pink Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Mixed Range,Georgette,Embroidered Work,Pinks,Gold,Heels,43800,23.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/i/pink-anarkali-suit-1-lstv01792.jpg,https://www.andaazfashion.com/georgette-charm-pink-anarkali-suit-lstv01792.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 19
4820,Vanila White Georgette Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Mixed Range,Georgette,Embroidered Work,White & Off‑Whites,White,Traditional,55800,19.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/w/h/white-anarkali-suit-1-lstv01791.jpg,https://www.andaazfashion.com/vanila-white-georgette-anarkali-suit-lstv01791.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 18
4821,Turmeric Yellow Soft Silk Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Free Size,Silk,Printed,Yellows,Not specified,Not specified,39900,23.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/t/u/turmeric-yellow-soft-silk-anarkali-suit-lstv110518-1_1_.jpg,https://www.andaazfashion.com/turmeric-yellow-soft-silk-anarkali-suit-lstv110518.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 18
4822,Purple Silk wedding Wear Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Mixed Range,Silk,Embroidered Work,Purples & Mauves,Gold,Heels,39900,72.0,https://assets2.andaazfashion.com/media/catalog/product/p/u/purple-silk-wedding-wear-anarkali-suit-lstv05609.jpg,https://www.andaazfashion.com/purple-silk-wedding-wear-anarkali-suit-lstv05609.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 18
4823,Peach Net Anarkali Churidar Suit With Chiffon Dupatta,Pakistani Cloth,Traditional,Anarkali Suit,Party/Festive,All-season,Female,Range,Net,Embroidered Work,Multi / Mixed & Others,Gold,Heels,69900,72.0,https://assets2.andaazfashion.com/media/catalog/product/d/e/design-no-dmv14233-anarkali-suit-collection-front.jpg,https://www.andaazfashion.com/peach-net-anarkali-churidar-suit-with-dupatta-dmv14233.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 18
4824,Green Silk With Resham Work Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Silk,Embroidered Work,Greens,Matching Green or Gold,Heels or Sandals,47700,26.0,https://assets2.andaazfashion.com/media/catalog/product/g/r/green-silk-with-resham-work-anarkali-suit-1-lstv02964.jpg,https://www.andaazfashion.com/green-silk-with-resham-work-anarkali-suit-lstv02964.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 18
4825,Resham Embroidered Georgette Black Anarkali Gown,Women's Ethnic Wear,Traditional,Gown,Wedding/Formal,All-season,Female,Range,Georgette,Embroidered Work,Black & Greys,Black,Heels,100200,45.0,https://assets2.andaazfashion.com/media/catalog/product/s/a/salwar-kameez-312-j-193_41779256702_o-front.jpg,https://www.andaazfashion.com/resham-embroidered-georgette-black-anarkali-gown-lstv0026.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 18
4826,Silk Resham Embroidered Anarkali Suit In Navy Blue Color,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Mixed Range,Silk,Embroidered Work,Blues,Matching Navy Blue or Silver,Heels or Sandals,54000,26.0,https://assets2.andaazfashion.com/media/catalog/product/s/i/silk-resham-embroidered-anarkali-suit-in-black-color-1-lstv02926.jpg,https://www.andaazfashion.com/silk-resham-embroidered-anarkali-suit-in-black-color-lstv02926.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 18
4827,Red Silk Anarkali Suit With Resham Work,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Silk,Embroidered Work,Reds,Gold,Heels,54000,26.0,https://assets2.andaazfashion.com/media/catalog/product/r/e/red-silk-anarkali-suit-with-resham-work-1-lstv02925.jpg,https://www.andaazfashion.com/red-silk-anarkali-suit-with-resham-work-lstv02925.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 18
4828,Blue Silk Anarkali Suit With Churidar,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Range,Silk,Embroidered Work,Multi / Mixed & Others,Gold,Heels,51900,22.0,https://assets2.andaazfashion.com/media/catalog/product/b/l/blue-silk-anarkali-with-churidar-anarkali-suit-lstv110883-1_1.jpg,https://www.andaazfashion.com/blue-silk-anarkali-with-churidar-anarkali-suit-lstv110883.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 18
4829,Printed Poly Silk Turquoise Blue Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Wedding/Formal,All-season,Female,Free Size,Silk,Printed,Blues,Not specified,Not specified,39900,43.0,https://assets2.andaazfashion.com/media/catalog/product/p/r/printed-soft-silk-turquoise-blue-anarkali-suit-lstv110515-1.jpg,https://www.andaazfashion.com/printed-soft-silk-turquoise-blue-anarkali-suit-lstv110515.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 18
4830,Georgette Grey Anarkali Suit,Women's Ethnic Wear,Traditional,Anarkali Suit,Party/Festive,All-season,Female,Range,Georgette,Embroidered Work,Black & Greys,Silver,"Heels, Sandals",55800,19.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/g/r/grey-anarkali-suit-1-lstv01795.jpg,https://www.andaazfashion.com/georgette-grey-anarkali-suit-lstv01795.html,https://www.andaazfashion.com/salwar-kameez/anarkali-suits/partywear?p= 18
